iter	Passed	Remaining
482	704	753
483	706	752
484	707	751
485	708	749
486	710	748
487	712	748
488	714	746
489	716	745
490	718	744
491	719	742
492	721	741
493	722	740
494	724	738
495	726	737
496	728	736
497	729	735
498	731	734
499	732	732
500	733	731
501	735	729
502	736	727
503	738	726
504	739	725
505	741	724
506	743	722
507	745	721
508	746	720
509	748	718
510	749	717
511	751	716
512	752	714
513	754	713
514	756	712
515	758	711
516	759	709
517	761	708
518	763	707
519	764	705
520	765	704
521	767	702
522	768	701
523	770	700
524	773	699
525	775	698
526	777	697
527	779	696
528	781	695
529	783	694
530	785	693
531	788	693
532	789	692
533	791	691
534	793	689
535	795	688
536	797	687
537	798	686
538	801	685
539	803	684
540	804	682
541	806	681
542	808	680
543	810	679
544	812	678
545	813	676
546	816	675
547	818	675
548	820	674
549	822	672
550	824	671
551	826	670
552	829	670
553	831	669
554	833	667
555	835	666
556	836	665
557	838	664
558	840	663
559	842	662
560	844	661
561	847	660
562	849	659
563	851	658
564	853	657
565	856	656
566	858	655
567	860	654
568	861	652
569	864	651
570	866	650
571	868	649
572	870	648
573	872	647
574	874	646
575	876	645
576	878	644
577	880	643
578	882	641
579	885	641
580	887	639
581	888	638
582	890	637
583	892	636
584	894	634
585	896	633
586	898	632
587	901	631
588	902	629
589	904	628
590	907	628
591	909	626
592	911	625
593	913	624
594	915	623
595	917	621
596	919	620
597	921	619
598	924	618
599	926	617
600	927	615
601	929	614
602	930	612
603	932	611
604	934	610
605	937	609
606	938	607
607	941	606
608	943	605
609	946	604
610	947	603
611	949	601
612	951	600
613	954	599
614	956	598
615	959	597
616	961	596
617	963	595
618	966	594
619	968	593
620	971	592
621	973	591
622	975	590
623	977	589
624	980	588
625	982	587
626	988	587
627	991	587
628	994	586
629	999	587
630	1002	585
631	1003	584
632	1007	583
633	1009	582
634	1011	581
635	1013	579
636	1014	578
637	1016	576
638	1017	574
639	1019	573
640	1021	572
641	1023	570
642	1027	570
643	1029	569
644	1031	567
645	1033	566
646	1034	564
647	1037	563
648	1038	561
649	1039	559
650	1041	558
651	1043	556
652	1044	555
653	1045	553
654	1047	551
655	1048	550
656	1050	548
657	1051	546
658	1053	544
659	1054	543
660	1055	541
661	1056	539
662	1058	538
663	1059	536
664	1061	534
665	1062	532
666	1064	531
667	1065	529
668	1067	528
669	1068	526
670	1070	524
671	1071	523
672	1072	521
673	1074	519
674	1075	517
675	1076	516
676	1077	514
677	1079	512
678	1080	510
679	1081	508
680	1082	507
681	1084	505
682	1085	503
683	1086	501
684	1087	500
685	1088	498
686	1089	496
687	1091	494
688	1092	493
689	1093	491
690	1094	489
691	1095	487
692	1097	486
693	1098	484
694	1099	482
695	1100	480
696	1101	479
697	1103	477
698	1104	475
699	1105	473
700	1106	472
701	1107	470
702	1109	468
703	1110	466
704	1111	464
705	1112	463
706	1113	461
707	1114	459
708	1115	457
709	1116	456
710	1117	454
711	1119	452
712	1120	450
713	1121	449
714	1122	447
715	1124	445
716	1125	444
717	1126	442
718	1127	440
719	1128	438
720	1129	437
721	1131	435
722	1132	433
723	1133	432
724	1134	430
725	1136	428
726	1137	427
727	1138	425
728	1139	423
729	1140	421
730	1141	420
731	1142	418
732	1143	416
733	1144	414
734	1146	413
735	1147	411
736	1148	409
737	1149	408
738	1150	406
739	1152	404
740	1153	403
741	1154	401
742	1155	399
743	1156	397
744	1157	396
745	1158	394
746	1159	392
747	1161	391
748	1162	389
749	1163	387
750	1165	386
751	1166	384
752	1167	383
753	1169	381
754	1170	379
755	1171	378
756	1172	376
757	1173	374
758	1175	373
759	1176	371
760	1178	370
761	1180	368
762	1181	366
763	1182	365
764	1184	363
765	1185	362
766	1186	360
767	1188	358
768	1189	357
769	1190	355
770	1192	354
771	1194	352
772	1195	351
773	1197	349
774	1198	347
775	1199	346
776	1200	344
777	1202	343
778	1203	341
779	1204	339
780	1205	338
781	1206	336
782	1208	334
783	1209	333
784	1210	331
785	1211	329
786	1212	328
787	1213	326
788	1214	324
789	1215	323
790	1217	321
791	1218	319
792	1219	318
793	1220	316
794	1222	315
795	1224	313
796	1225	312
797	1227	310
798	1228	309
799	1229	307
800	1231	305
801	1232	304
802	1233	302
803	1235	301
804	1236	299
805	1238	298
806	1239	296
807	1240	294
808	1241	293
809	1243	291
810	1244	289
811	1245	288
812	1246	286
813	1247	285
814	1248	283
815	1250	281
816	1251	280
817	1252	278
818	1254	277
819	1255	275
820	1256	273
821	1257	272
822	1258	270
823	1259	269
824	1260	267
825	1262	265
826	1263	264
827	1264	262
828	1265	261
829	1266	259
830	1268	257
831	1269	256
832	1270	254
833	1271	253
834	1273	251
835	1274	249
836	1275	248
837	1276	246
838	1277	245
839	1278	243
840	1279	241
841	1280	240
842	1282	238
843	1284	237
844	1285	235
845	1286	234
846	1288	232
847	1289	231
848	1291	229
849	1292	228
850	1294	226
851	1295	224
852	1297	223
853	1298	222
854	1299	220
855	1301	218
856	1302	217
857	1304	215
858	1305	214
859	1307	212
860	1308	211
861	1309	209
862	1310	208
863	1312	206
864	1313	205
865	1315	203
866	1316	201
867	1318	200
868	1319	198
869	1321	197
870	1322	195
871	1323	194
872	1325	192
873	1326	191
874	1328	189
875	1329	188
876	1331	186
877	1332	185
878	1334	183
879	1335	182
880	1337	180
881	1338	179
882	1340	177
883	1341	176
884	1343	174
885	1344	173
886	1346	171
887	1347	169
888	1349	168
889	1351	166
890	1352	165
891	1354	163
892	1355	162
893	1357	160
894	1358	159
895	1360	157
896	1361	156
897	1363	154
898	1365	153
899	1366	151
900	1367	150
901	1368	148
902	1370	147
903	1371	145
904	1373	144
905	1374	142
906	1376	141
907	1378	139
908	1379	138
909	1380	136
910	1382	135
911	1383	133
912	1384	131
913	1386	130
914	1387	128
915	1388	127
916	1390	125
917	1391	124
918	1392	122
919	1393	121
920	1395	119
921	1396	118
922	1397	116
923	1398	115
924	1399	113
925	1400	111
926	1401	110
927	1402	108
928	1403	107
929	1405	105
930	1406	104
931	1407	102
932	1408	101
933	1409	99
934	1410	98
935	1411	96
936	1412	94
937	1413	93
938	1414	91
939	1415	90
940	1416	88
941	1417	87
942	1419	85
943	1420	84
944	1421	82
945	1422	81
946	1424	79
947	1425	78
948	1426	76
949	1427	75
950	1428	73
951	1429	72
952	1430	70
953	1432	69
954	1433	67
955	1434	66
956	1435	64
957	1436	62
958	1437	61
959	1438	59
960	1439	58
961	1440	56
962	1441	55
963	1442	53
964	1443	52
965	1444	50
966	1445	49
967	1447	47
968	1448	46
969	1449	44
970	1450	43
971	1451	41
972	1452	40
973	1453	38
974	1455	37
975	1456	35
976	1457	34
977	1458	32
978	1459	31
979	1460	29
980	1462	28
981	1463	26
982	1464	25
983	1466	23
984	1467	22
985	1468	20
986	1469	19
987	1470	17
988	1471	16
989	1473	14
990	1474	13
991	1475	11
992	1476	10
993	1478	8
994	1479	7
995	1480	5
996	1481	4
997	1482	2
998	1483	1
999	1485	0
